"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"GRIA2",15738,"6.28e-01","9.68e-01","3.68e-01","8289","15697","5206","0.553","0.969","0.374","0.511","0.968","0.374"
"RPS7",15739,"NA","6.7e-01","NA","16176","11586","NA","NA","0.715","NA","0.998","0.715","NA"
"LRGUK",15740,"1e-02","3.21e-01","7.37e-01","174","6699","10272","0.0116","0.413","0.738","0.0107","0.413","0.738"
"SIX1",15741,"NA","5.66e-01","NA","16177","10240","NA","NA","0.632","NA","0.998","0.632","NA"
"SPG7",15742,"1.84e-01","7.52e-02","7.99e-01","4386","2158","11105","0.293","0.133","0.798","0.271","0.133","0.798"
"FOXC1",15743,"9.31e-01","8.11e-02","7.96e-01","13402","2286","11074","0.894","0.141","0.796","0.827","0.141","0.796"
"ABHD18",15744,"8.52e-01","5.12e-01","3.35e-01","11521","9519","4732","0.769","0.588","0.34","0.711","0.587","0.34"
"TRANK1",15745,"5.49e-01","2.9e-01","4.05e-01","7619","6210","5697","0.508","0.383","0.41","0.47","0.383","0.41"
"ACOT6",15746,"7.69e-01","3.11e-01","NA","9978","6534","NA","0.666","0.403","NA","0.616","0.403","NA"
"CASK",15747,"2.73e-02","6.36e-02","NA","759","1914","NA","0.0506","0.118","NA","0.0468","0.118","NA"
"SLC12A1",15748,"3.05e-02","1.86e-01","1.71e-03","863","4485","66","0.0576","0.277","0.00474","0.0532","0.277","0.00474"
"TRIM66",15749,"4.04e-02","3.95e-02","5.23e-01","1205","1279","7330","0.0804","0.0789","0.527","0.0743","0.0789","0.527"
"FYB1",15750,"5.64e-02","6.5e-02","7.34e-01","1697","1949","10240","0.113","0.12","0.736","0.105","0.12","0.736"
"MICAL2",15751,"9.68e-01","5.73e-01","9.12e-01","14261","10328","12698","0.952","0.637","0.913","0.88","0.637","0.913"
"CTCF",15752,"NA","1.35e-01","3.9e-01","16178","3483","5497","NA","0.215","0.395","0.998","0.215","0.395"
"ARHGEF7",15753,"9.53e-01","8.12e-01","1.47e-01","13909","13477","2142","0.928","0.832","0.154","0.858","0.831","0.154"
"LZTR1",15754,"7.38e-01","7.36e-01","8.21e-01","9495","12418","11420","0.634","0.766","0.821","0.586","0.766","0.821"
"TBC1D24",15755,"1.72e-01","9.58e-01","6.55e-02","4202","15559","1034","0.28","0.96","0.0743","0.259","0.96","0.0743"
"TINCR",15756,"NA","1.65e-03","NA","16179","96","NA","NA","0.00593","NA","0.998","0.00592","NA"
"RHAG",15757,"1.49e-02","3.19e-01","7.97e-02","324","6666","1251","0.0216","0.411","0.0899","0.02","0.411","0.0899"
"AVPR2",15758,"4.29e-01","6.13e-01","1.18e-01","6724","10855","1759","0.449","0.67","0.126","0.415","0.67","0.126"
"EFNB2",15759,"6.35e-01","8.81e-01","9.35e-01","8359","14471","13017","0.558","0.893","0.936","0.516","0.893","0.936"
"RFX8",15760,"6.59e-01","8.23e-01","NA","8600","13664","NA","0.574","0.843","NA","0.531","0.843","NA"
"CSNK2A1",15761,"NA","3.19e-01","NA","16180","6676","NA","NA","0.412","NA","0.998","0.412","NA"
"SLC19A3",15762,"1.95e-01","3.44e-01","4.04e-01","4530","7037","5664","0.302","0.434","0.407","0.279","0.434","0.407"
"GIGYF1",15763,"5.33e-01","9.34e-01","7.95e-01","7496","15180","11049","0.5","0.937","0.794","0.462","0.937","0.794"
"NMNAT3",15764,"8.68e-01","6.91e-01","5.47e-01","11894","11849","7635","0.794","0.731","0.549","0.734","0.731","0.549"
"HDDC3",15765,"6.41e-02","4.98e-01","2.54e-02","1946","9325","447","0.13","0.576","0.0321","0.12","0.575","0.0321"
"TSC1",15766,"1.31e-01","5.71e-02","2.91e-01","3525","1771","4118","0.235","0.109","0.296","0.217","0.109","0.296"
"SYNGAP1",15767,"9.1e-01","9.33e-01","6.33e-02","12890","15163","1007","0.86","0.936","0.0724","0.795","0.935","0.0724"
"S1PR2",15768,"1.05e-01","2.29e-01","1.67e-01","2955","5225","2415","0.197","0.322","0.174","0.182","0.322","0.174"
"CHD8",15769,"2.03e-01","2.28e-02","9.34e-01","4665","820","13002","0.311","0.0506","0.935","0.288","0.0506","0.935"
"UBE2T",15770,"9.08e-01","5.88e-01","6.32e-01","12830","10535","8811","0.856","0.65","0.633","0.792","0.65","0.633"
"TRPM7",15771,"6.01e-02","1.26e-01","1.39e-01","1816","3307","2049","0.121","0.204","0.147","0.112","0.204","0.147"
"SAMHD1",15772,"5.08e-01","1.74e-01","2.68e-01","7307","4248","3836","0.488","0.262","0.276","0.451","0.262","0.276"
"TMF1",15773,"8.47e-03","2.72e-01","9.89e-01","123","5919","13776","0.00821","0.365","0.99","0.00759","0.365","0.99"
"GRHL2",15774,"4.61e-01","1.3e-01","5.98e-01","6968","3384","8354","0.465","0.209","0.6","0.43","0.209","0.6"
"RAB15",15775,"3.7e-01","8.64e-01","3.16e-01","6243","14229","4468","0.417","0.878","0.321","0.385","0.878","0.321"
"SH2D4B",15776,"7.74e-02","1.44e-01","5.46e-01","2300","3669","7632","0.153","0.226","0.549","0.142","0.226","0.549"
"CC2D2B",15777,"3.39e-02","9.14e-01","6.82e-01","967","14901","9517","0.0645","0.92","0.684","0.0597","0.919","0.684"
"SUCLA2",15778,"5.88e-01","2.38e-01","5.8e-01","7925","5376","8113","0.529","0.332","0.583","0.489","0.332","0.583"
"RNASEH2B",15779,"1.25e-01","9.13e-01","9.82e-01","3389","14893","13678","0.226","0.919","0.983","0.209","0.919","0.983"
"TPM4",15780,"6.22e-02","2.25e-02","NA","1894","807","NA","0.126","0.0498","NA","0.117","0.0498","NA"
"POU4F3",15781,"NA","7.89e-01","NA","16181","13154","NA","NA","0.812","NA","0.998","0.812","NA"
"C3orf49",15782,"6.32e-01","8.52e-01","5.95e-01","8324","14074","8310","0.555","0.869","0.597","0.514","0.868","0.597"
"SAMSN1",15783,"1.7e-02","8.49e-01","6.46e-01","391","14037","8986","0.0261","0.866","0.646","0.0241","0.866","0.646"
"ERCC3",15784,"7.89e-01","8.77e-01","3.49e-01","10280","14416","4931","0.686","0.89","0.354","0.634","0.889","0.354"
"RPL35A",15785,"NA","1.8e-01","NA","16182","4383","NA","NA","0.271","NA","0.998","0.27","NA"
"CDKN1C",15786,"1.47e-01","1.04e-01","4.94e-01","3824","2844","6917","0.255","0.176","0.497","0.236","0.175","0.497"
"CBLC",15787,"5.32e-02","1.39e-02","NA","1598","552","NA","0.107","0.0341","NA","0.0986","0.0341","NA"
"ANKRD44",15788,"4.34e-02","8.05e-01","4.4e-01","1286","13375","6185","0.0858","0.826","0.445","0.0793","0.825","0.445"
"LRRC9",15789,"7.66e-01","9.52e-01","9.2e-01","9931","15455","12839","0.663","0.954","0.923","0.613","0.953","0.923"
"TSEN15",15790,"3.2e-01","8.1e-01","2.41e-01","5845","13456","3434","0.39","0.831","0.247","0.361","0.83","0.247"
"PTP4A2",15791,"NA","6.17e-02","NA","16183","1865","NA","NA","0.115","NA","0.998","0.115","NA"
"SERAC1",15792,"1.53e-01","7.1e-01","4.63e-01","3901","12092","6489","0.26","0.746","0.466","0.241","0.746","0.466"
"FRY",15793,"8.05e-01","3.65e-01","9.32e-01","10581","7359","12984","0.706","0.454","0.933","0.653","0.454","0.933"
"TDRD12",15794,"1.48e-01","8.5e-02","6.39e-01","3838","2371","8907","0.256","0.146","0.64","0.237","0.146","0.64"
"NDUFV1",15795,"7.85e-03","1.42e-02","3.6e-01","98","562","5091","0.00654","0.0347","0.366","0.00605","0.0347","0.366"
"ALX3",15796,"9e-01","7.73e-01","7.75e-01","12656","12933","10784","0.845","0.798","0.775","0.781","0.798","0.775"
"EPHB1",15797,"5.98e-02","9.16e-01","3.81e-01","1805","14932","5388","0.12","0.922","0.387","0.111","0.921","0.387"
"TNXB",15798,"1.17e-01","5.11e-02","NA","3215","1620","NA","0.215","0.1","NA","0.198","0.0999","NA"
"CRYBB1",15799,"9.28e-01","8.75e-01","5.74e-01","13323","14388","8023","0.889","0.888","0.577","0.822","0.888","0.577"
"C8orf33",15800,"8.81e-01","7.45e-01","6.03e-01","12193","12546","8428","0.814","0.774","0.606","0.752","0.774","0.606"
"PRSS51",15801,"8.29e-01","6.15e-01","NA","11033","10882","NA","0.736","0.672","NA","0.681","0.671","NA"
"ZNF23",15802,"2.36e-01","8.92e-01","5.95e-01","5050","14598","8305","0.337","0.901","0.597","0.312","0.901","0.597"
"ITM2B",15803,"9.87e-01","7.47e-01","5.12e-01","14662","12575","7192","0.978","0.776","0.517","0.905","0.776","0.517"
"WDR49",15804,"4.99e-02","3.84e-04","2.28e-01","1492","36","3260","0.0996","0.00222","0.234","0.092","0.00222","0.234"
"EIF4E1B",15805,"3.37e-02","3.44e-02","4.22e-01","957","1135","5932","0.0639","0.0701","0.426","0.059","0.07","0.426"
"RPS17",15806,"NA","3.27e-01","NA","16184","6777","NA","NA","0.418","NA","0.998","0.418","NA"
"CA14",15807,"5.77e-01","2.3e-01","1.52e-01","7842","5252","2220","0.523","0.324","0.16","0.484","0.324","0.16"
"ALOX12B",15808,"9.12e-01","6.15e-01","2.32e-01","12941","10886","3333","0.864","0.672","0.24","0.798","0.672","0.24"
"PNRC2",15809,"9.43e-01","3.47e-01","7.71e-01","13671","7087","10710","0.912","0.437","0.77","0.843","0.437","0.77"
"ENPP1",15810,"7.37e-01","6.21e-01","9.16e-02","9491","10955","1413","0.633","0.676","0.102","0.586","0.676","0.102"
"JAGN1",15811,"9.21e-01","4.97e-01","NA","13164","9307","NA","0.878","0.574","NA","0.812","0.574","NA"
"CPOX",15812,"9.88e-01","6.39e-01","6.42e-01","14672","11179","8944","0.979","0.69","0.643","0.905","0.69","0.643"
"NEK5",15813,"2.05e-02","3.07e-01","8.06e-01","504","6470","11191","0.0336","0.399","0.804","0.0311","0.399","0.804"
"HESX1",15814,"3.18e-01","6.3e-02","9.81e-01","5836","1897","13656","0.389","0.117","0.982","0.36","0.117","0.982"
"B2M",15815,"6.59e-01","2.9e-02","1.86e-01","8599","981","2689","0.574","0.0605","0.193","0.531","0.0605","0.193"
"HLA-DOB",15816,"7.17e-02","1.2e-02","NA","2146","494","NA","0.143","0.0305","NA","0.132","0.0305","NA"
"ALDOB",15817,"6.69e-01","9.4e-01","1.47e-01","8678","15259","2145","0.579","0.942","0.154","0.535","0.941","0.154"
"COL17A1",15818,"4.74e-01","6.62e-01","8.63e-01","7064","11490","12037","0.471","0.709","0.865","0.436","0.709","0.865"
"IMPACT",15819,"3.44e-01","4.44e-01","5.58e-01","6040","8508","7789","0.403","0.525","0.56","0.373","0.525","0.56"
"IQSEC1",15820,"8.76e-01","7.31e-01","4.7e-01","12051","12366","6587","0.804","0.763","0.473","0.743","0.763","0.473"
"DLG4",15821,"9.79e-03","8.26e-02","1.98e-02","167","2314","385","0.0111","0.143","0.0277","0.0103","0.143","0.0277"
"VKORC1L1",15822,"6.51e-01","9.19e-02","NA","8532","2549","NA","0.569","0.157","NA","0.526","0.157","NA"
"IL17A",15823,"9.21e-01","7.57e-01","7.38e-01","13163","12696","10291","0.878","0.784","0.74","0.812","0.783","0.74"
"PLCZ1",15824,"9.3e-01","3.25e-01","8.38e-01","13389","6754","11669","0.893","0.417","0.839","0.826","0.417","0.839"
"KCNN4",15825,"8.06e-01","8.41e-01","6.61e-01","10597","13902","9229","0.707","0.858","0.663","0.654","0.858","0.663"
"FOXL2",15826,"3.89e-01","4.16e-01","2.49e-01","6408","8105","3561","0.428","0.5","0.256","0.395","0.5","0.256"
"FAM50B",15827,"6.67e-01","5.1e-01","NA","8667","9491","NA","0.578","0.586","NA","0.535","0.586","NA"
"UBE3A",15828,"5.35e-01","2.86e-01","2.83e-01","7506","6148","4016","0.501","0.379","0.289","0.463","0.379","0.289"
"MRPL28",15829,"8.79e-01","7.4e-01","9.82e-01","12147","12458","13661","0.811","0.769","0.982","0.749","0.769","0.982"
"CXorf58",15830,"8.81e-01","9.32e-01","NA","12184","15148","NA","0.813","0.935","NA","0.752","0.935","NA"
"DLX5",15831,"6.57e-01","4.09e-02","7.13e-01","8583","1314","9944","0.573","0.0811","0.715","0.53","0.0811","0.715"
"CTLA4",15832,"9.25e-01","3.76e-02","7.75e-01","13250","1229","10778","0.884","0.0759","0.775","0.817","0.0758","0.775"
"BCL10",15833,"8.89e-01","7.33e-01","4.84e-02","12407","12384","790","0.828","0.764","0.0568","0.765","0.764","0.0568"
"IL21",15834,"1.55e-02","6.36e-01","1.61e-01","342","11140","2338","0.0228","0.688","0.168","0.0211","0.687","0.168"
"TMPRSS9",15835,"8.69e-01","6.89e-01","4.56e-01","11905","11818","6394","0.794","0.729","0.46","0.734","0.729","0.46"
"EPB42",15836,"1.05e-02","1.58e-01","1.11e-02","199","3941","262","0.0133","0.243","0.0188","0.0123","0.243","0.0188"
"CD53",15837,"9.48e-01","7.07e-01","2.5e-01","13774","12063","3574","0.919","0.745","0.257","0.85","0.744","0.257"
"MYO1C",15838,"5.77e-01","5.5e-02","2.47e-01","7838","1719","3531","0.523","0.106","0.254","0.484","0.106","0.254"
"CES4A",15839,"6.17e-01","4.61e-01","NA","8184","8758","NA","0.546","0.541","NA","0.505","0.54","NA"
"KAT6B",15840,"5.82e-01","9.07e-01","3.7e-01","7889","14792","5240","0.526","0.913","0.377","0.487","0.913","0.377"
"PRDM1",15841,"9.12e-01","6.34e-01","6.76e-01","12948","11118","9446","0.864","0.686","0.679","0.799","0.686","0.679"
"CABCOCO1",15842,"8.31e-02","9.56e-01","4.68e-01","2458","15526","6566","0.164","0.958","0.472","0.152","0.958","0.472"
"PTP4A1",15843,"NA","4.58e-01","NA","16185","8713","NA","NA","0.538","NA","0.999","0.538","NA"
"ATP8B1",15844,"1.36e-01","6.08e-01","1.41e-02","3609","10793","311","0.241","0.666","0.0224","0.223","0.666","0.0224"
"FEZ1",15845,"1.51e-01","1.77e-01","4.59e-01","3874","4319","6439","0.259","0.267","0.463","0.239","0.266","0.463"
"EIF2B5",15846,"1.24e-01","3.52e-01","2.43e-01","3366","7165","3477","0.225","0.442","0.25","0.208","0.442","0.25"
"TPRA1",15847,"9.6e-01","1e+00","6.33e-01","14064","16198","8826","0.938","1","0.634","0.868","0.999","0.634"
"MYL12B",15848,"NA","3.01e-01","NA","16186","6387","NA","NA","0.394","NA","0.999","0.394","NA"
"GAN",15849,"9.46e-01","1.88e-01","3.27e-01","13730","4519","4628","0.916","0.279","0.333","0.847","0.279","0.333"
"GJA1",15850,"9.11e-01","2.5e-01","8.53e-01","12914","5589","11881","0.862","0.345","0.854","0.797","0.345","0.854"
"LMBRD1",15851,"1.7e-01","3.56e-01","4.46e-01","4164","7216","6261","0.278","0.445","0.45","0.257","0.445","0.45"
"ITPR1",15852,"8.96e-01","3.08e-01","9.48e-01","12549","6503","13191","0.837","0.401","0.948","0.774","0.401","0.948"
"NDN",15853,"2.07e-01","5.56e-02","8.87e-01","4713","1728","12346","0.314","0.107","0.887","0.291","0.107","0.887"
"HOXA13",15854,"NA","1.66e-01","NA","16187","4095","NA","NA","0.253","NA","0.999","0.253","NA"
"AP5Z1",15855,"6.89e-01","6.67e-01","4.23e-01","8901","11554","5933","0.594","0.713","0.426","0.549","0.713","0.426"
"ANKS1A",15856,"9.4e-01","4.76e-01","8.1e-01","13607","8987","11250","0.908","0.555","0.809","0.839","0.554","0.809"
"RAB12",15857,"7.33e-01","3.07e-03","NA","9438","176","NA","0.63","0.0109","NA","0.582","0.0109","NA"
"GET1",15858,"7.78e-02","1.25e-01","5.63e-01","2314","3282","7862","0.154","0.203","0.565","0.143","0.202","0.565"
"RCC1",15859,"1.84e-01","9.66e-01","9.16e-01","4387","15674","12758","0.293","0.967","0.917","0.271","0.967","0.917"
"TRIM16",15860,"7.4e-01","6.46e-02","1.99e-01","9535","1939","2886","0.636","0.12","0.207","0.588","0.12","0.207"
"C9orf153",15861,"9.05e-01","5.75e-01","7.48e-01","12780","10368","10425","0.853","0.64","0.749","0.788","0.64","0.749"
"MALT1",15862,"4.14e-01","5.49e-01","3.02e-01","6579","10012","4275","0.439","0.618","0.307","0.406","0.618","0.307"
"GNAI1",15863,"NA","1.47e-02","NA","16188","576","NA","NA","0.0356","NA","0.999","0.0355","NA"
"LHB",15864,"9.34e-01","2.98e-01","4.91e-01","13482","6333","6876","0.9","0.391","0.494","0.832","0.391","0.494"
"EDDM13",15865,"6.91e-01","7.48e-02","NA","8925","2148","NA","0.596","0.133","NA","0.551","0.133","NA"
"TBX1",15866,"1.65e-01","4.17e-02","NA","4106","1337","NA","0.274","0.0825","NA","0.253","0.0825","NA"
"SETBP1",15867,"9.19e-01","6.06e-01","6.88e-01","13111","10769","9611","0.875","0.665","0.691","0.809","0.664","0.691"
"AGK",15868,"2.62e-01","5.07e-01","6.29e-01","5311","9446","8780","0.354","0.583","0.631","0.328","0.583","0.631"
"PCMT1",15869,"3.56e-01","5.82e-01","4.17e-01","6130","10468","5862","0.409","0.646","0.421","0.378","0.646","0.421"
"NNAT",15870,"1.32e-01","5.44e-01","5.2e-01","3549","9942","7293","0.237","0.614","0.524","0.219","0.613","0.524"
"ABLIM1",15871,"7.1e-01","7.59e-01","7.01e-01","9159","12736","9789","0.611","0.786","0.704","0.565","0.786","0.704"
"COL9A3",15872,"7.41e-01","1.06e-01","7.14e-01","9550","2905","9959","0.637","0.179","0.716","0.589","0.179","0.716"
"MMD",15873,"9.77e-01","7.7e-01","9.22e-01","14459","12883","12862","0.965","0.795","0.925","0.892","0.795","0.925"
"STON2",15874,"2.64e-01","5.21e-01","3.4e-01","5335","9652","4808","0.356","0.596","0.346","0.329","0.595","0.346"
"CHRNE",15875,"6.15e-03","3.05e-02","9.27e-02","58","1030","1432","0.00387","0.0636","0.103","0.00358","0.0635","0.103"
"CALCR",15876,"7.74e-01","8.72e-03","8.66e-01","10058","377","12067","0.671","0.0233","0.867","0.621","0.0233","0.867"
"ISG15",15877,"5.99e-01","4.59e-01","3.12e-01","8020","8732","4420","0.535","0.539","0.318","0.495","0.539","0.318"
"CCBE1",15878,"8.34e-01","8.81e-01","9.64e-01","11133","14466","13401","0.743","0.893","0.963","0.687","0.892","0.963"
"TTC37",15879,"7.42e-01","4.29e-01","6.48e-01","9577","8293","9026","0.639","0.512","0.649","0.591","0.512","0.649"
"TTR",15880,"8.16e-01","4.39e-01","2.52e-01","10781","8424","3597","0.719","0.52","0.259","0.665","0.52","0.259"
"DHH",15881,"NA","2.19e-01","6.91e-01","16189","5047","9645","NA","0.312","0.693","0.999","0.311","0.693"
"DARS2",15882,"8.43e-01","7.47e-01","5.62e-01","11315","12565","7832","0.755","0.776","0.563","0.698","0.775","0.563"
"STON1",15883,"3.41e-02","9.29e-01","3.61e-01","976","15109","5104","0.0651","0.933","0.367","0.0602","0.932","0.367"
"EIF4A3",15884,"NA","7.02e-01","NA","16190","11981","NA","NA","0.739","NA","0.999","0.739","NA"
"SH3BP1",15885,"8.4e-01","9.54e-01","8.12e-01","11246","15498","11275","0.75","0.957","0.81","0.694","0.956","0.81"
"MPIG6B",15886,"3.81e-01","6.19e-01","8.09e-01","6337","10926","11232","0.423","0.674","0.807","0.391","0.674","0.807"
"SCUBE2",15887,"5.47e-01","6.46e-01","9.68e-01","7599","11276","13475","0.507","0.696","0.969","0.469","0.696","0.969"
"CA5A",15888,"8.22e-01","9.81e-01","5.84e-01","10906","15907","8165","0.728","0.982","0.587","0.673","0.981","0.587"
"MIF4GD",15889,"9.83e-01","5.68e-01","NA","14598","10273","NA","0.974","0.634","NA","0.901","0.634","NA"
"ECE1",15890,"7.51e-01","9.77e-01","7.15e-01","9709","15853","9978","0.648","0.978","0.717","0.599","0.978","0.717"
"COX6B1",15891,"6.94e-01","1.01e-01","4.96e-02","8983","2760","801","0.599","0.17","0.0576","0.554","0.17","0.0576"
"THBS2",15892,"5.89e-01","7.86e-01","9.8e-01","7936","13109","13640","0.53","0.809","0.98","0.49","0.809","0.98"
"FOXC2",15893,"1.47e-01","1.45e-01","5.42e-01","3813","3700","7577","0.254","0.228","0.545","0.235","0.228","0.545"
"IGF1R",15894,"8.75e-01","8.52e-01","4.62e-01","12041","14075","6483","0.803","0.869","0.466","0.743","0.868","0.466"
"SLC35B1",15895,"2.56e-01","5.15e-02","4.54e-02","5260","1628","745","0.351","0.1","0.0536","0.325","0.1","0.0536"
"IFIH1",15896,"9.31e-01","7.82e-02","6.85e-01","13400","2222","9568","0.894","0.137","0.688","0.827","0.137","0.688"
"LARP1B",15897,"6.22e-01","7.75e-01","6.84e-01","8233","12955","9551","0.549","0.8","0.687","0.508","0.799","0.687"
"APLP2",15898,"9e-01","3.35e-01","9.79e-01","12652","6897","13621","0.844","0.426","0.979","0.781","0.426","0.979"
"GRM6",15899,"9e-01","6.08e-01","5.93e-03","12650","10782","164","0.844","0.665","0.0118","0.78","0.665","0.0118"
"C2orf15",15900,"7.26e-01","1.41e-01","9.31e-01","9366","3620","12977","0.625","0.223","0.933","0.578","0.223","0.933"
"IDE",15901,"8.95e-01","7.29e-01","6.4e-01","12535","12348","8918","0.836","0.762","0.641","0.773","0.762","0.641"
"BBS10",15902,"6.67e-02","5.46e-01","6.32e-01","2011","9967","8810","0.134","0.615","0.633","0.124","0.615","0.633"
"CTPS1",15903,"7.56e-02","5.23e-01","4.16e-01","2243","9673","5842","0.15","0.597","0.42","0.138","0.597","0.42"
"WDR37",15904,"6.25e-01","2.05e-01","1.32e-01","8266","4811","1938","0.552","0.297","0.139","0.51","0.297","0.139"
"FBRSL1",15905,"8.75e-01","4.17e-01","NA","12031","8127","NA","0.803","0.502","NA","0.742","0.501","NA"
"EPS8L2",15906,"1.67e-01","7.97e-01","NA","4128","13270","NA","0.275","0.819","NA","0.255","0.819","NA"
"QSER1",15907,"3.46e-02","5.75e-03","9.59e-01","987","263","13332","0.0659","0.0162","0.958","0.0609","0.0162","0.958"
"LRPAP1",15908,"4.7e-01","6.88e-01","7.33e-01","7030","11813","10225","0.469","0.729","0.735","0.434","0.729","0.735"
"MED13L",15909,"1.28e-01","8.22e-01","5.02e-01","3480","13639","7011","0.232","0.842","0.504","0.215","0.841","0.504"
"ALAS2",15910,"2.36e-01","9.77e-01","1.06e-01","5053","15849","1621","0.337","0.978","0.117","0.312","0.978","0.117"
"SLC25A48",15911,"5.75e-01","7.5e-01","6.09e-01","7825","12600","8504","0.522","0.778","0.611","0.483","0.777","0.611"
"KCNK9",15912,"7.67e-01","1.02e-01","9.21e-01","9944","2802","12850","0.664","0.173","0.924","0.613","0.173","0.924"
"LPL",15913,"1.37e-02","7.5e-02","9.31e-03","297","2156","229","0.0198","0.133","0.0165","0.0183","0.133","0.0165"
"GSK3B",15914,"9.2e-01","3.88e-01","5.85e-02","13134","7696","930","0.876","0.475","0.0668","0.81","0.475","0.0668"
"ABCB11",15915,"9.23e-01","9.14e-01","1.53e-02","13213","14903","326","0.882","0.92","0.0234","0.815","0.919","0.0234"
"DYNC2H1",15916,"2.43e-02","3.57e-02","3.21e-01","643","1170","4546","0.0429","0.0722","0.327","0.0397","0.0722","0.327"
"LMTK3",15917,"8.51e-02","1.69e-02","NA","2502","646","NA","0.167","0.0399","NA","0.154","0.0399","NA"
"ZMYM1",15918,"1.28e-01","3.16e-01","7.33e-01","3467","6609","10220","0.231","0.408","0.735","0.214","0.408","0.735"
"DCLRE1B",15919,"2.56e-01","4.04e-01","1.93e-01","5258","7931","2799","0.351","0.49","0.201","0.324","0.489","0.201"
"GCLC",15920,"2.95e-02","2.88e-01","2.3e-01","838","6182","3303","0.0559","0.382","0.237","0.0517","0.381","0.237"
